Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 14:25:39
Collection Length (seconds):, 60.183
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9421387, 0, 0.2592163, 0, -0.06427, 0, -0.2026978, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9420776, 0.0135, 0.2592773, 0.0135, -0.0643311, 0.0135, -0.2026978, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9420776, 0.027, 0.2592163, 0.027, -0.0643311, 0.027, -0.2028198, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9420776, 0.0405, 0.2592773, 0.0405, -0.0643311, 0.0405, -0.2028198, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9421387, 0.054, 0.2592163, 0.054, -0.0643311, 0.054, -0.2026978, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9421387, 0.0675, 0.2592163, 0.0675, -0.06427, 0.0675, -0.2026978, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9421387, 0.081, 0.2592163, 0.081, -0.06427, 0.081, -0.2025757, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9421387, 0.0945, 0.2592773, 0.0945, -0.0643311, 0.0945, -0.2025146, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9421387, 0.108, 0.2593994, 0.108, -0.0643921, 0.108, -0.2023926, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9421387, 0.1215, 0.2594604, 0.1215, -0.0643311, 0.1215, -0.2023315, , , , , , , , , , , , , , , , , , , , , , 
