Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:11:51
Collection Length (seconds):, 63.45
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9443359, 0, 0.1941528, 0, 0.0687256, 0, 0.2566528, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9443359, 0.0135, 0.1942139, 0.0135, 0.0690918, 0.0135, 0.2564697, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9443359, 0.027, 0.1943359, 0.027, 0.069519, 0.027, 0.2562256, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9443359, 0.0405, 0.194397, 0.0405, 0.0697021, 0.0405, 0.2561035, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.944397, 0.054, 0.194397, 0.054, 0.0700684, 0.054, 0.2557983, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.944397, 0.0675, 0.194397, 0.0675, 0.0701904, 0.0675, 0.2556763, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.944397, 0.081, 0.194519, 0.081, 0.0706177, 0.081, 0.2554932, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.944397, 0.0945, 0.194519, 0.0945, 0.0707397, 0.0945, 0.2554321, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9443359, 0.108, 0.1946411, 0.108, 0.071167, 0.108, 0.2554321, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9443359, 0.1215, 0.1947021, 0.1215, 0.0713501, 0.1215, 0.2554321, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9443359, 0.135, 0.1948242, 0.135, 0.0717773, 0.135, 0.255188, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9443359, 0.1485, 0.1948853, 0.1485, 0.0718994, 0.1485, 0.2550049, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9443359, 0.162, 0.1948853, 0.162, 0.0722656, 0.162, 0.2550659, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9443359, 0.1755, 0.1948242, 0.1755, 0.0725098, 0.1755, 0.2550049, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9443359, 0.189, 0.1947021, 0.189, 0.072998, 0.189, 0.2549438, , , , , , , , , , , , , , , , , , , , , , 
