Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:35:38
Collection Length (seconds):, 45.684
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9432983, 0, 0.1329956, 0, 0.0429688, 0, 0.3010254, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9432983, 0.0135, 0.1330566, 0.0135, 0.0429077, 0.0135, 0.3010864, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9432983, 0.027, 0.1330566, 0.027, 0.0427856, 0.027, 0.3010864, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9432373, 0.0405, 0.1331177, 0.0405, 0.0426636, 0.0405, 0.3012695, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9432373, 0.054, 0.1330566, 0.054, 0.0426636, 0.054, 0.3013306, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9432373, 0.0675, 0.1330566, 0.0675, 0.0426025, 0.0675, 0.3013916, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9431152, 0.081, 0.1333008, 0.081, 0.0424194, 0.081, 0.3015137, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9431152, 0.0945, 0.1334839, 0.0945, 0.0422974, 0.0945, 0.3014526, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9431152, 0.108, 0.133667, 0.108, 0.0422363, 0.108, 0.3014526, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9431152, 0.1215, 0.133728, 0.1215, 0.0422363, 0.1215, 0.3014526, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9431152, 0.135, 0.1337891, 0.135, 0.0422974, 0.135, 0.3014526, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9431152, 0.1485, 0.1337891, 0.1485, 0.0423584, 0.1485, 0.3014526, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9431152, 0.162, 0.1337891, 0.162, 0.0423584, 0.162, 0.3014526, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9431152, 0.1755, 0.1337891, 0.1755, 0.0423584, 0.1755, 0.3014526, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9431152, 0.189, 0.1338501, 0.189, 0.0424194, 0.189, 0.3013306, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9431152, 0.2025, 0.1339722, 0.2025, 0.0423584, 0.2025, 0.3012695, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9431152, 0.216, 0.1340332, 0.216, 0.0423584, 0.216, 0.3013306, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9431152, 0.2295, 0.1340942, 0.2295, 0.0424194, 0.2295, 0.3012695, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.9431152, 0.243, 0.1341553, 0.243, 0.0424805, 0.243, 0.3011475, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.9431763, 0.2565, 0.1342163, 0.2565, 0.0424194, 0.2565, 0.3010254, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.9431763, 0.27, 0.1342773, 0.27, 0.0425415, 0.27, 0.3009644, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.9431763, 0.2835, 0.1342773, 0.2835, 0.0426025, 0.2835, 0.3009033, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.9431763, 0.297, 0.1343384, 0.297, 0.0426025, 0.297, 0.3008423, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.9431763, 0.3105, 0.1343384, 0.3105, 0.0426636, 0.3105, 0.3008423, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.9432373, 0.324, 0.1343994, 0.324, 0.0427246, 0.324, 0.3007202, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.9432373, 0.3375, 0.1343994, 0.3375, 0.0427246, 0.3375, 0.3006592, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.9432983, 0.351, 0.1345215, 0.351, 0.0427856, 0.351, 0.3004761, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.9432983, 0.3645, 0.1345825, 0.3645, 0.0427856, 0.3645, 0.300415, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.9432983, 0.378, 0.1347046, 0.378, 0.0428467, 0.378, 0.300415, , , , , , , , , , , , , , , , , , , , , , 
